TIME;2021;2020;2019;2018;2017;2016;2015;2014;2013
GEO (Labels);;;;;;;;;
European Union - 27 countries (from 2020);10,7;11,4;10,2;9,9;9,8;9,8;9,8;9,9;9,4
Belgium;8,1;8,6;7,9;7,8;7,9;7,9;7,9;8,2;7,7
Bulgaria;11,2;12,3;11,0;10,7;10,2;10,6;9,7;10,1;9,9
Czechia;6,6;6,8;6,3;6,1;6,2;6,4;6,3;5,9;5,7
Denmark;26,8;28,3;24,9;23,2;23,5;22,4;23,0;22,1;20,4
Germany (until 1990 former territory of the FRG);7,2;7,7;7,1;6,8;6,7;6,7;6,7;6,8;6,3
Estonia;12,4;13,7;10,6;7,3;7,0;7,2;8,1;7,1;6,6
Ireland;36,2;36,7;33,8;33,9;32,9;31,8;32,1;32,6;33,2
Greece;10,1;10,6;9,0;8,4;8,2;8,6;8,3;8,1;8,3
Spain;11,6;12,4;10,3;9,8;9,7;9,9;9,5;9,7;9,4
France;15,6;16,8;15,3;15,4;15,0;15,1;15,3;15,5;14,2
Croatia;10,9;11,2;10,7;10,9;10,9;10,9;11,2;11,2;11,1
Italy;7,7;8,6;7,4;7,2;7,3;7,3;7,0;7,2;7,0
Cyprus;6,7;6,8;5,7;5,5;5,4;5,4;5,5;5,5;5,9
Latvia;20,5;21,1;18,9;17,8;19,4;19,4;19,4;19,0;18,1
Lithuania;21,1;22,1;20,8;20,9;21,3;21,6;22,2;22,2;21,1
Luxembourg;6,2;6,6;5,5;5,6;5,8;6,0;5,8;5,5;5,2
Hungary;11,1;11,3;10,6;10,6;10,6;11,0;10,6;10,8;10,5
Malta;3,7;3,9;3,2;3,3;3,4;3,8;3,4;2,7;2,7
Netherlands;10,3;10,7;9,5;9,4;9,4;9,3;9,2;9,3;8,8
Austria;9,2;9,6;8,7;9,0;8,8;9,1;9,1;9,3;8,8
Poland;8,5;9,1;8,4;8,2;8,1;8,1;8,2;8,4;8,2
Portugal;12,4;12,2;10,6;9,9;9,4;10,0;9,7;10,3;10,1
Romania;16,6;16,9;16,6;16,3;15,9;16,2;16,1;15,7;15,5
Slovenia;11,2;11,3;10,5;10,0;10,0;10,2;10,6;10,5;9,3
Slovakia;5,9;6,8;6,3;5,9;5,8;6,3;6,1;6,7;6,1
Finland;12,9;13,2;11,6;10,8;11,1;10,8;11,2;10,6;9,8
Sweden;13,7;14,4;12,6;12,2;12,4;12,0;12,1;12,1;11,6
Iceland;12,2;12,9;10,9;10,3;11,1;11,7;12,1;12,7;12,0
Liechtenstein;:;:;:;:;:;:;:;:;:
Norway;9,5;9,3;8,7;8,5;8,6;8,5;8,3;8,2;8,1
Switzerland;12,4;12,7;11,3;11,4;11,3;11,2;11,3;11,4;10,4
United Kingdom;:;:;:;:;:;:;:;:;:
Montenegro;:;:;:;:;:;:;:;:;:
North Macedonia;:;:;:;:;:;:;:;:;:
Albania;:;:;:;:;:;:;:;:;:
Serbia;:;:;:;:;:;:;:;:;:
Türkiye;:;:;:;:;:;:;:;:;:
;;;;;;;;;
Special value;;;;;;;;;
:;not available;;;;;;;;
